id,title,cover_image,cover_image_fallback,url,days_to_start,eventPeriod,eventEnded,location_country,location_country_human,location_city,location_lat,location_long,categoryGroups,startdate,enddate
21143,NAGA Long Island Grappling Championship,https://smoothcomp.com/pictures/t/5342612-zi62/naga-long-island-grappling-championship-2025.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://naga.smoothcomp.com/en/event/21143,0,March 22,False,US,United States,Long Island,40.7071360,-73.6569034,['1'],2025-03-22,2025-03-22
21144,NAGA Los Angeles Kids (13 & Under) Grappling Championship,https://smoothcomp.com/pictures/t/5350938-czav/naga-los-angeles-kids-13-under-grappling-championship-2025.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://naga.smoothcomp.com/en/event/21144,0,March 22,False,US,United States,"Los Angeles, CA ",34.1351760,-117.8954597,['1'],2025-03-22,2025-03-22
21195,Nuorten BJJ SM-kilpailut 2025,https://smoothcomp.com/pictures/t/5356874-4n1d/nuorten-bjj-sm-kilpailut-2025.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://fbjjf.smoothcomp.com/en/event/21195,0,March 22,True,FI,Finland,Hämeenlinna,61.0048199,24.4309116,['1'],2025-03-22,2025-03-22
21240,Masters BJJ Finnish Open 2025,https://smoothcomp.com/pictures/t/5356795-8ij5/masters-bjj-finnish-open-2025.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://fbjjf.smoothcomp.com/en/event/21240,0,March 22,True,FI,Finland,Hämeenlinna,61.0048199,24.4309116,['1'],2025-03-22,2025-03-22
21252,COMPNET QUEENSLAND STATE CHAMPIONSHIP 2025 - Gi & No-Gi,https://smoothcomp.com/pictures/t/5738299-61y3/compnet-queensland-state-championship-2025-gi-no-gi.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://compnet.smoothcomp.com/en/event/21252,0,March 23,False,AU,Australia,"Gold Coast, Australia",-28.1006059,153.4409496,['1'],2025-03-23,2025-03-23
21395,Grappling Industries SACRAMENTO,https://smoothcomp.com/pictures/t/5725678-hu42/grappling-industries-sacramento-2025.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://grapplingindustries.smoothcomp.com/en/event/21395,0,March 22,False,US,United States,Sacramento,38.5398799,-121.4251586,['1'],2025-03-22,2025-03-22
21416,NEWBREED HOUSTON SPRING CHAMPIONSHIP,https://smoothcomp.com/pictures/t/5321802-lwy7/newbreed-houston-spring-championship-2025.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://newbreedbjj.smoothcomp.com/en/event/21416,0,March 22,False,US,United States,"Houston, TX",29.6695293,-95.4372316,['1'],2025-03-22,2025-03-22
21430,NEWBREED CHATTANOOGA SPRING CHAMPIONSHIP,https://smoothcomp.com/pictures/t/5381555-9kxe/newbreed-chattanooga-spring-championship-2025.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://newbreedbjj.smoothcomp.com/en/event/21430,0,March 22,False,US,United States,"Chattanooga, TN",35.0000657,-85.1955775,['1'],2025-03-22,2025-03-22
21467,OKJJC 2025 - Oceania Kids Jiu Jitsu Championship ,https://smoothcomp.com/pictures/t/5334648-84oq/okjjc-2025-oceania-kids-jiu-jitsu-championship.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://afbjj.smoothcomp.com/en/event/21467,0,March 23,False,AU,Australia,"Melbourne, Australia ",-37.7852815,144.9476719,"['1', '7']",2025-03-23,2025-03-23
21575,2025 Jager Jiu Jitsu Gi & No Gi Asian Open Championships,https://smoothcomp.com/pictures/t/5397405-92rh/2025-jager-jiu-jitsu-gi-no-gi-asian-open-championships.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://bjjfphilippines.smoothcomp.com/en/event/21575,0,March 22,True,PH,Philippines,Makati,14.5729953,121.0197107,"['1', '7']",2025-03-22,2025-03-22
21577,2025 South East Asian Jiu Jitsu Gi & No Gi Friendship Games ,https://smoothcomp.com/pictures/t/5397419-c3nl/2025-south-east-asian-jiu-jitsu-gi-no-gi-friendship-games.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://bjjfphilippines.smoothcomp.com/en/event/21577,0,March 22,True,PH,Philippines,Makati,14.5729953,121.0197107,"['1', '7']",2025-03-22,2025-03-22
21698,Controlled Combat March 2025,https://smoothcomp.com/pictures/t/5564034-hj72/controlled-combat-march-2025.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://smoothcomp.com/en/event/21698,0,March 22,True,US,United States,"Leesburg, VA",39.1094970,-77.5549335,"['1', '7']",2025-03-22,2025-03-22
21786,Trondheim Open Grappling,https://smoothcomp.com/pictures/t/5403979-zsaq/trondheim-open-grappling-2025.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://smoothcomp.com/en/event/21786,0,March 22,True,NO,Norway,Trondheim,63.4421873,10.4503326,"['1', '3']",2025-03-22,2025-03-22
21836,GOOD FIGHT: Battle at Boone,https://smoothcomp.com/pictures/t/5390455-1kdr/good-fight-battle-at-boone-2025.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://goodfight.smoothcomp.com/en/event/21836,0,March 22,True,US,United States,"Boone, NC",36.2161290,-81.6509389,"['1', '7', '4', '3']",2025-03-22,2025-03-22
21838,Manchester Grappling Clash 4,https://smoothcomp.com/pictures/t/5390865-103k/manchester-grappling-clash-4-2025.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://bjj247.smoothcomp.com/en/event/21838,0,March 22,True,GB,United Kingdom,Manchester,53.4831335,-2.2377183,"['1', '7', '3']",2025-03-22,2025-03-22
21843,Caloundra Open 2025,https://smoothcomp.com/pictures/t/5391936-g4mr/caloundra-open-2025.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://afbjj.smoothcomp.com/en/event/21843,0,March 23,False,AU,Australia,Caloundra,-26.8055723,153.1205289,['1'],2025-03-23,2025-03-23
21852,CASTILLA Y LEÓN BJJ CUP GI & NO-GI 2025,https://smoothcomp.com/pictures/t/5715759-83r2/castilla-y-leon-bjj-cup-gi-no-gi-2025.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://spainbjjtour.smoothcomp.com/en/event/21852,0,March 22,True,ES,Spain,León,42.5787044,-5.5521909,"['1', '7']",2025-03-22,2025-03-22
22090,FUJI European Open Bulgaria,https://smoothcomp.com/pictures/t/5447963-pcsz/fuji-european-open-bulgaria-2025.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://fujibjj.smoothcomp.com/en/event/22090,0,March 22,True,BG,Bulgaria,Sofia,42.6664989,23.3235600,"['1', '7']",2025-03-22,2025-03-22
