event_id,bracket_bundle_id,attempts,last_failed
19885,1200853,1,2025-03-20
19790,1190556,1,2025-03-20
19511,1119763,1,2025-03-20
16662,974855,1,2025-03-20
16662,974857,1,2025-03-20
16610,925135,1,2025-03-20
14815,848200,1,2025-03-20
14815,848203,1,2025-03-20
14815,848199,1,2025-03-20
14815,848204,1,2025-03-20
14815,848198,1,2025-03-20
14815,848197,1,2025-03-20
14815,848196,1,2025-03-20
14815,848195,1,2025-03-20
14815,848193,1,2025-03-20
14815,848194,1,2025-03-20
12753,712776,1,2025-03-20
12753,712775,1,2025-03-20
12753,712779,1,2025-03-20
12753,712777,1,2025-03-20
12753,712784,1,2025-03-20
12753,712786,1,2025-03-20
12753,712782,1,2025-03-20
12753,712781,1,2025-03-20
12753,712787,1,2025-03-20
12753,713331,1,2025-03-20
11951,735655,1,2025-03-20
11951,735667,1,2025-03-20
11951,735668,1,2025-03-20
11951,735680,1,2025-03-20
11951,735660,1,2025-03-20
11951,735656,1,2025-03-20
11951,735703,1,2025-03-20
11951,735669,1,2025-03-20
11951,735685,1,2025-03-20
11951,735670,1,2025-03-20
11951,735692,1,2025-03-20
11951,735638,1,2025-03-20
11951,735674,1,2025-03-20
11951,735659,1,2025-03-20
11951,735643,1,2025-03-20
11951,735688,1,2025-03-20
11951,735657,1,2025-03-20
11951,735678,1,2025-03-20
11951,735651,1,2025-03-20
11951,735658,1,2025-03-20
11951,735653,1,2025-03-20
11951,735632,1,2025-03-20
11951,735663,1,2025-03-20
11951,735661,1,2025-03-20
11951,735675,1,2025-03-20
11951,735664,1,2025-03-20
11951,735649,1,2025-03-20
11951,735644,1,2025-03-20
11951,735633,1,2025-03-20
11951,735640,1,2025-03-20
11951,735673,1,2025-03-20
11951,735676,1,2025-03-20
11951,735662,1,2025-03-20
11951,735713,1,2025-03-20
11951,735699,1,2025-03-20
11951,735705,1,2025-03-20
11951,735683,1,2025-03-20
11951,735654,1,2025-03-20
11951,735690,1,2025-03-20
11951,735645,1,2025-03-20
11951,735641,1,2025-03-20
11951,735639,1,2025-03-20
11951,735679,1,2025-03-20
11951,735686,1,2025-03-20
11951,735650,1,2025-03-20
11951,735684,1,2025-03-20
11951,735715,1,2025-03-20
11951,735691,1,2025-03-20
11951,735712,1,2025-03-20
11951,735682,1,2025-03-20
11951,735717,1,2025-03-20
11951,735704,1,2025-03-20
11951,735677,1,2025-03-20
11951,735722,1,2025-03-20
11951,735702,1,2025-03-20
11951,735681,1,2025-03-20
11951,735701,1,2025-03-20
11951,735672,1,2025-03-20
11951,735634,1,2025-03-20
11951,735718,1,2025-03-20
11951,735646,1,2025-03-20
11951,735709,1,2025-03-20
11951,735714,1,2025-03-20
11951,735689,1,2025-03-20
11951,735695,1,2025-03-20
11951,735707,1,2025-03-20
11951,735721,1,2025-03-20
11951,735716,1,2025-03-20
11951,735665,1,2025-03-20
11951,735635,1,2025-03-20
11951,735636,1,2025-03-20
11951,735698,1,2025-03-20
11951,735719,1,2025-03-20
11951,735694,1,2025-03-20
11951,735693,1,2025-03-20
11951,735700,1,2025-03-20
11951,735708,1,2025-03-20
11951,735711,1,2025-03-20
11951,735652,1,2025-03-20
11951,735710,1,2025-03-20
11951,735697,1,2025-03-20
11951,735720,1,2025-03-20
11951,735647,1,2025-03-20
11951,735648,1,2025-03-20
11951,735696,1,2025-03-20
11951,735706,1,2025-03-20
11951,735637,1,2025-03-20
11951,735671,1,2025-03-20
11951,735642,1,2025-03-20
11951,735687,1,2025-03-20
11951,735666,1,2025-03-20
11768,735487,1,2025-03-20
11768,735444,1,2025-03-20
11768,735416,1,2025-03-20
11768,735488,1,2025-03-20
11768,735411,1,2025-03-20
11768,735389,1,2025-03-20
