event_id,event_name,match_id
19885,"ADCC US Open - Portland, OR",10445748
19885,"ADCC US Open - Portland, OR",10432990
19885,"ADCC US Open - Portland, OR",10432863
19885,"ADCC US Open - Portland, OR",10448879
19885,"ADCC US Open - Portland, OR",10431734
19885,"ADCC US Open - Portland, OR",10447015
19885,"ADCC US Open - Portland, OR",10430873
19885,"ADCC US Open - Portland, OR",10445749
19885,"ADCC US Open - Portland, OR",10432779
19885,"ADCC US Open - Portland, OR",10432749
19885,"ADCC US Open - Portland, OR",10445780
19885,"ADCC US Open - Portland, OR",10432965
19885,"ADCC US Open - Portland, OR",10430864
19885,"ADCC US Open - Portland, OR",10432839
19885,"ADCC US Open - Portland, OR",10432541
19885,"ADCC US Open - Portland, OR",10445770
19885,"ADCC US Open - Portland, OR",10432701
19885,"ADCC US Open - Portland, OR",10432780
19885,"ADCC US Open - Portland, OR",10432667
19885,"ADCC US Open - Portland, OR",10448824
19885,"ADCC US Open - Portland, OR",10445750
19885,"ADCC US Open - Portland, OR",10445697
19885,"ADCC US Open - Portland, OR",10432750
19885,"ADCC US Open - Portland, OR",10445775
19885,"ADCC US Open - Portland, OR",10431668
19885,"ADCC US Open - Portland, OR",10432790
19885,"ADCC US Open - Portland, OR",10432840
19885,"ADCC US Open - Portland, OR",10445778
19885,"ADCC US Open - Portland, OR",10432542
19885,"ADCC US Open - Portland, OR",10449305
19885,"ADCC US Open - Portland, OR",10432876
19885,"ADCC US Open - Portland, OR",10432788
19885,"ADCC US Open - Portland, OR",10445751
19885,"ADCC US Open - Portland, OR",10432664
19885,"ADCC US Open - Portland, OR",10431735
19885,"ADCC US Open - Portland, OR",10432968
19885,"ADCC US Open - Portland, OR",10445779
19885,"ADCC US Open - Portland, OR",10430874
19885,"ADCC US Open - Portland, OR",10432864
19885,"ADCC US Open - Portland, OR",10445752
19885,"ADCC US Open - Portland, OR",10447010
19885,"ADCC US Open - Portland, OR",10432781
19885,"ADCC US Open - Portland, OR",10448880
19885,"ADCC US Open - Portland, OR",10432702
19885,"ADCC US Open - Portland, OR",10430866
19885,"ADCC US Open - Portland, OR",10432841
19885,"ADCC US Open - Portland, OR",10448875
19885,"ADCC US Open - Portland, OR",10445753
19885,"ADCC US Open - Portland, OR",10432668
19885,"ADCC US Open - Portland, OR",10432991
19885,"ADCC US Open - Portland, OR",10445781
19885,"ADCC US Open - Portland, OR",10432754
19885,"ADCC US Open - Portland, OR",10445744
19885,"ADCC US Open - Portland, OR",10449306
19885,"ADCC US Open - Portland, OR",10432782
19885,"ADCC US Open - Portland, OR",10432842
19885,"ADCC US Open - Portland, OR",10432983
19885,"ADCC US Open - Portland, OR",10432877
19885,"ADCC US Open - Portland, OR",10432826
19885,"ADCC US Open - Portland, OR",10432703
19885,"ADCC US Open - Portland, OR",10432706
19885,"ADCC US Open - Portland, OR",10445743
19885,"ADCC US Open - Portland, OR",10431345
19885,"ADCC US Open - Portland, OR",10432733
19885,"ADCC US Open - Portland, OR",10448825
19885,"ADCC US Open - Portland, OR",10432682
