Competing Athlete,Opponent,Event,Method,Result
Aaron Johnson,7672,Quentin Rosensweig,L,Inside heel hook
Aaron Johnson,8190,Neiman Gracie,L,RNC
Aaron Johnson,8785,Richie MartinezRichie Martinez,L,Heel hook
Aaron Johnson,9059,Leo NogueiraLeo Nogueira,L,Points
Aaron Johnson,9110,Romulo AzevedoRomulo Azevedo,L,N/A
Aaron Johnson,9116,Abraham MarteAbraham Marte,L,Cross choke
Aaron Johnson,9373,Andre GalvaoAndre Galvao,L,Choke
Aaron Johnson,9500,Joao Soares,L,Triangle
Aaron Johnson,10087,Bernardo FariaBernardo Faria,L,Triangle armbar
Aaron Johnson,10120,Joao RochaJoao Rocha,L,Choke from back
Aaron Johnson,10274,Marcos TinocoMarcos Tinoco,L,Points
Aaron Johnson,10489,Mike Hillebrand,L,Inside heel hook
Aaron Johnson,10684,Dillon DanisDillon Danis,L,Arm in guillotine
Aaron Johnson,10944,Yuri SimoesYuri Simoes,L,Pts: 19x0
Aaron Johnson,11671,Leo NogueiraLeo Nogueira,L,Points
Aaron Johnson,11687,Helton JoseHelton Jose,L,Pts: 10x0
Aaron Johnson,11947,Jonathan SatavaJonathan Satava,L,Points
Aaron Johnson,12001,Keenan CorneliusKeenan Cornelius,L,Points
Aaron Johnson,12224,Tanner RiceTanner Rice,L,Pts: 4x2
Aaron Johnson,12416,Gianni GrippoGianni Grippo,L,Points
Aaron Johnson,13021,Joao RochaJoao Rocha,L,Botinha
Aaron Johnson,13190,Leandro LoLeandro Lo,L,Brabo choke
Aaron Johnson,13426,Mahamed AlyMahamed Aly,L,Calf slicer
Aaron Johnson,13434,DJ JacksonDJ Jackson,L,Points
Aaron Johnson,13647,Gordon RyanGordon Ryan,L,Reverse triangle
Aaron Johnson,14552,Craig JonesCraig Jones,L,Inside heel hook
Aaron Johnson,14715,Joao AssisJoao Assis,L,Pts: 2x0
Aaron Johnson,14727,Keenan CorneliusKeenan Cornelius,L,RNC
Aaron Johnson,14986,Dany GerardDany Gerard,L,"Pts: 0x0, Adv"
Aaron Johnson,15220,Matt LeightonMatt Leighton,L,Points
Aaron Johnson,15311,Tanner RiceTanner Rice,L,DQ
Aaron Johnson,15440,Tanner RiceTanner Rice,L,Pts: 7x2
Aaron Johnson,16312,Matt LeightonMatt Leighton,L,Triangle armbar
Aaron Johnson,16363,Fellipe TrovoFellipe Trovo,L,Pts: 4x2
Aaron Johnson,16376,Victor SilverioVictor Silverio,L,Referee Decision
Aaron Johnson,17390,Rafael VasconcelosRafael Vasconcelos,L,DQ
Aaron Johnson,17397,Diogo SampaioDiogo Sampaio,L,DQ
Aaron Johnson,18699,Max GimenisMax Gimenis,L,Pts: 6x0
Aaron Johnson,18722,Yuri SimoesYuri Simoes,L,Pts: 5x0
Aaron Johnson,18872,Keenan CorneliusKeenan Cornelius,L,Pts: 34x0
Aaron Johnson,19658,Patrick GaudioPatrick Gaudio,L,Pts: 15x0
Aaron Johnson,19812,Kaynan DuarteKaynan Duarte,L,Pts: 6x1
Aaron Johnson,20713,Mahamed AlyMahamed Aly,L,Choke
Aaron Johnson,20988,Craig JonesCraig Jones,L,RNC
Aaron Johnson,21271,Tim SpriggsTim Spriggs,L,Referee Decision
Aaron Johnson,21626,Max GimenisMax Gimenis,L,Pts: 11x0
Aaron Johnson,21851,James PuopoloJames Puopolo,L,Pts: 3x0
Aaron Johnson,21930,Marcus AlmeidaMarcus Almeida,L,Pts: 3x0
Aaron Johnson,22527,Kyle BoehmKyle Boehm,L,EBI/OT
Aaron Johnson,22559,Kyle BoehmKyle Boehm,L,EBI/OT
Aaron Johnson,22839,Victor HugoVictor Hugo,L,Triangle armbar
Aaron Johnson,22924,Freddy Vosgrone,L,Referee Decision
Aaron Johnson,23480,Gordon RyanGordon Ryan,L,Katagatame
Aaron Johnson,24083,Rafael VasconcelosRafael Vasconcelos,L,Pts: 3x0
Aaron Johnson,24089,Fellipe TrovoFellipe Trovo,L,Triangle
Aaron Johnson,24124,Paulo GabrielPaulo Gabriel,L,Pts: 6x4
Aaron Johnson,24242,Guilherme AugustoGuilherme Augusto,L,Arm in Ezekiel
Aaron Johnson,24279,Daishi Goto,L,DQ
Aaron Johnson,24349,William TackettWilliam Tackett,L,Katagatame
Aaron Johnson,24535,Kaynan DuarteKaynan Duarte,L,Armbar
Aaron Johnson,25136,Max GimenisMax Gimenis,L,Referee Decision
Aaron Johnson,25502,Vinicius TratorVinicius Trator,L,Pts: 5x0
Aaron Johnson,25613,Kaynan DuarteKaynan Duarte,L,Points
Aaron Johnson,26071,Matheus GabrielMatheus Gabriel,L,Pts: 2x0
Aaron Johnson,26214,Victor HugoVictor Hugo,L,Pts: 2x2
Aaron Johnson,26946,Gustavo BatistaGustavo Batista,L,Referee Decision
Aaron Johnson,27929,Tim SpriggsTim Spriggs,L,Referee Decision
Aaron Johnson,7673,Vitor Schlosser,W,Toe hold
Aaron Johnson,7674,Ricardo Bastos,W,Straight ankle lock
Aaron Johnson,8857,Joseph Cashin,W,Points
Aaron Johnson,8858,Gordon RyanGordon Ryan,W,Points
Aaron Johnson,9109,Wellington Peroto,W,Straight ankle lock
Aaron Johnson,9499,Lincoln Pereira,W,Choke from back
Aaron Johnson,10074,Choi Choi,W,"Pts: 0x0, Adv"
Aaron Johnson,10678,Leo Davila,W,Straight ankle lock
Aaron Johnson,10681,Samir Abdolkader,W,Flying armbar
Aaron Johnson,10943,Eliot MarshallEliot Marshall,W,Toe hold
Aaron Johnson,11940,Shaun Dufree,W,Toe hold
Aaron Johnson,12000,William Nyman,W,Submission
Aaron Johnson,12399,Daniel Richards,W,Points
Aaron Johnson,12400,Christian Simmerling,W,Points
Aaron Johnson,12414,Joao Paulo,W,Points
Aaron Johnson,13182,Josh Bowlin,W,Pts: 7x6
Aaron Johnson,13240,Kaliffa Oliviera,W,Referee Decision
Aaron Johnson,13550,Kory Acchione,W,Referee Decision
Aaron Johnson,13984,Leo Davilla,W,Armbar
Aaron Johnson,13985,Taniel Santos,W,Straight ankle lock
Aaron Johnson,14025,Oleksandr Karliychuk,W,Straight ankle lock
Aaron Johnson,14027,Matt LeightonMatt Leighton,W,Referee Decision
Aaron Johnson,14544,Matt Kirchwhem,W,EBI/OT
Aaron Johnson,14549,A. Kimler,W,Armbar
Aaron Johnson,14712,Paul ArdilaPaul Ardila,W,Pts: 4x0
Aaron Johnson,14988,Vitor Schlosser,W,Choke from back
Aaron Johnson,15060,Gilvan Costa,W,Straight ankle lock
Aaron Johnson,15061,Inacio NetoInacio Neto,W,Kneebar
Aaron Johnson,15218,Kenneth Brown,W,Pts: 4x2
Aaron Johnson,15310,Frisco DeLeon,W,Adv
Aaron Johnson,15347,Rodrigo FreitasRodrigo Freitas,W,Calf slicer
Aaron Johnson,15355,Tanner RiceTanner Rice,W,Kneebar
Aaron Johnson,15436,Wellington Peroto,W,Straight ankle lock
Aaron Johnson,15973,Thiago Jiuliani,W,Points
Aaron Johnson,15974,Nicholas Penzer,W,Straight ankle lock
Aaron Johnson,17455,Roberto Torralbas,W,Pts: 2x0
Aaron Johnson,17456,Jackson SousaJackson Sousa,W,Footlock
Aaron Johnson,18055,Tom deBlassTom deBlass,W,Referee Decision
Aaron Johnson,18164,Riley Mccormick,W,Reverse triangle
Aaron Johnson,18166,JeQuan Williamson,W,Triangle armbar
Aaron Johnson,18167,Andrew Tevay,W,Kneebar
Aaron Johnson,18170,Hudson Taylor,W,Kneebar
Aaron Johnson,18422,Kevin Gallager,W,Points
Aaron Johnson,18696,Satoshi Ishii,W,Triangle
Aaron Johnson,18706,Ben Hodgkinson,W,Straight ankle lock
Aaron Johnson,18721,David GarmoDavid Garmo,W,Pts: 10x2
Aaron Johnson,19025,Ricardo AbreuRicardo Abreu,W,Pts: 1x0
Aaron Johnson,19356,Gustavo Andrade,W,Straight ankle lock
Aaron Johnson,19358,Nisar LoynabNisar Loynab,W,Straight ankle lock
Aaron Johnson,19407,Matt LeightonMatt Leighton,W,Straight ankle lock
Aaron Johnson,19656,M Sturua,W,Choke from back
Aaron Johnson,19800,Jackson SousaJackson Sousa,W,Inside heel hook
Aaron Johnson,19801,Valdir AraujoValdir Araujo,D,---
Aaron Johnson,19803,Felipe PenaFelipe Pena,W,Inside heel hook
Aaron Johnson,20706,Lucasz Gustaw,W,Mounted choke
Aaron Johnson,21624,Paulo Brasil,W,Submission
Aaron Johnson,21635,Briean Beaury,W,Armlock
Aaron Johnson,21639,Todd Mueckenheim,W,Kimura
Aaron Johnson,21923,Jon BlankJon Blank,W,Straight ankle lock
Aaron Johnson,22518,Viktor Vaughn,W,Heel hook
Aaron Johnson,22522,Guybson SaGuybson Sa,W,Heel hook
Aaron Johnson,22526,Quentin Rosenzweig,W,Kneebar
Aaron Johnson,22547,Keith KrikorianKeith Krikorian,W,EBI/OT
Aaron Johnson,22553,William Vincent,W,Straignt ankle lock
Aaron Johnson,22557,William TackettWilliam Tackett,W,EBI/OT
Aaron Johnson,23472,Angelo ClaiborneAngelo Claiborne,W,Straight ankle lock
Aaron Johnson,23924,Michael Egley,W,Straight ankle lock
Aaron Johnson,23961,Rafael LovatoRafael Lovato,W,Referee Decision
Aaron Johnson,24081,Bruno Assis,W,Pts: 2x1
Aaron Johnson,24087,Eric Schlosser,W,DQ
Aaron Johnson,24278,Don Scozzari,W,Kneebar
Aaron Johnson,24338,Fellipe TrovoFellipe Trovo,W,Referee Decision
Aaron Johnson,24534,Arnaldo MaidanaArnaldo Maidana,W,Straight ankle lock
Aaron Johnson,25074,Arnaldo MaidanaArnaldo Maidana,W,Violin armlock
Aaron Johnson,25273,Jackson DouglasJackson Douglas,W,Violin armlock
Aaron Johnson,25275,Joe DierkhisingJoe Dierkhising,W,"Pts: 2x2, Adv"
Aaron Johnson,25280,Rida HaisamRida Haisam,W,"Pts: 0x0, Adv"
Aaron Johnson,25285,David GarmoDavid Garmo,W,Kneebar
Aaron Johnson,25500,Alexandre Bueno,W,"Pts: 0x0, Adv"
Aaron Johnson,25506,Damon Morgan,W,Kneebar
Aaron Johnson,25511,Pedro Palhares,W,N/A
Aaron Johnson,25512,Giancarlo BodoniGiancarlo Bodoni,W,Outside heel hook
Aaron Johnson,26212,John Hansen,W,Estima lock
Aaron Johnson,26649,Lucas BarbosaLucas Barbosa,W,Referee Decision
Aaron Johnson,27927,Orlando SanchezOrlando Sanchez,W,DQ
Abdurakhman Bilarov,10359,Erberth SantosErberth Santos,L,Referee Decision
Abdurakhman Bilarov,12677,Felipe PenaFelipe Pena,L,Pts: 8x2
Abdurakhman Bilarov,12901,Erberth SantosErberth Santos,L,Referee Decision
Abdurakhman Bilarov,13475,Helton JoseHelton Jose,L,DQ
Abdurakhman Bilarov,13868,Felipe PenaFelipe Pena,L,Pts: 5x0
Abdurakhman Bilarov,14603,Felipe PenaFelipe Pena,L,Arm in guillotine
Abdurakhman Bilarov,14971,Yuri SimoesYuri Simoes,L,Referee Decision
Abdurakhman Bilarov,16741,Igor SilvaIgor Silva,L,Points
Abdurakhman Bilarov,20143,Erberth SantosErberth Santos,L,Kneebar
Abdurakhman Bilarov,21069,Gustavo BatistaGustavo Batista,L,Pts: 5x0
Abdurakhman Bilarov,6655,Claudio CalasansClaudio Calasans,W,Pts: 4x2
Abdurakhman Bilarov,8541,Jackson SousaJackson Sousa,W,Heel hook
Abdurakhman Bilarov,8902,Ilya Bogoslovsky,W,Kimura
Abdurakhman Bilarov,8903,Abdulbary Guseinov,W,Points
Abdurakhman Bilarov,11414,Jackson Jacinto,W,Armbar
Abdurakhman Bilarov,12680,Jongmok Kim,W,"Pts: 0x0, Adv"
Abdurakhman Bilarov,12681,Basel Fanous,W,"Pts: 2x2, Adv"
Abdurakhman Bilarov,12897,Rodrigo CavacaRodrigo Cavaca,W,Referee Decision
Abdurakhman Bilarov,12980,Luc Rousseau,W,Heel hook
Abdurakhman Bilarov,12981,Otto Kuikka,W,Heel hook
Abdurakhman Bilarov,12982,Mraz Avdoyan,W,RNC
Abdurakhman Bilarov,13476,Vitor ToledoVitor Toledo,W,Points
Abdurakhman Bilarov,13861,Jake ShieldsJake Shields,W,Pts: 5x0
Abdurakhman Bilarov,14597,Jackson SousaJackson Sousa,W,Heel hook
Abdurakhman Bilarov,14601,Erberth SantosErberth Santos,W,Heel hook
Abdurakhman Bilarov,17367,Kazhigali Tuleshev,W,Armbar
Abdurakhman Bilarov,17368,Andrii Haleta,W,Katagatame
Abdurakhman Bilarov,17369,Kamil Umiski,W,Darce choke
Abdurakhman Bilarov,19899,A. Ghitta,W,Mounted triangle
Abdurakhman Bilarov,19900,Andrii Haleta,W,RNC
Abdurakhman Bilarov,19901,T. Galimov,W,RNC
Abdurakhman Bilarov,20149,Nicolas Penzer,W,Pts: 7x2
Abdurakhman Bilarov,46012,Pouya Rahman,W,DQ
Abraham Marte Messina,4649,R. EvangelistaR. Evangelista,L,Adv
Abraham Marte Messina,4754,Andre GalvaoAndre Galvao,L,Kneebar
Abraham Marte Messina,4828,Rodrigo CavacaRodrigo Cavaca,L,DQ
Abraham Marte Messina,5313,Victor EstimaVictor Estima,L,Estima lock
Abraham Marte Messina,5422,Andre GalvaoAndre Galvao,L,Choke from back
Abraham Marte Messina,5503,Lucas LepriLucas Lepri,L,Armbar
Abraham Marte Messina,5626,Andre GalvaoAndre Galvao,L,wristlock
Abraham Marte Messina,5711,Bernardo FariaBernardo Faria,L,Armbar
Abraham Marte Messina,5857,Alexander TransAlexander Trans,L,Pts: 2x0
Abraham Marte Messina,5985,Gabriel LucasGabriel Lucas,L,Pts: 3x0
Abraham Marte Messina,5994,AJ AgazarmAJ Agazarm,L,Pts: 4x2
Abraham Marte Messina,6007,Keenan CorneliusKeenan Cornelius,L,"Pts: 2x2, Adv"
Abraham Marte Messina,6068,Yuri SimoesYuri Simoes,L,Points
Abraham Marte Messina,6119,Bernardo FariaBernardo Faria,L,Kneebar
Abraham Marte Messina,6156,Claudio CalasansClaudio Calasans,L,Pts: 5x4
Abraham Marte Messina,6891,James PuopoloJames Puopolo,L,Pts: 7x4
Abraham Marte Messina,7396,Alexander TransAlexander Trans,L,Kneebar
Abraham Marte Messina,7767,Joao AssisJoao Assis,L,Heel hook
Abraham Marte Messina,7903,Joao RochaJoao Rocha,L,Pts: 3x0
Abraham Marte Messina,9064,Jonathan SatavaJonathan Satava,L,Pts: 3x0
Abraham Marte Messina,9118,Thiago SaThiago Sa,L,Pts: 4x0
Abraham Marte Messina,9119,Romulo AzevedoRomulo Azevedo,L,Pts: 5x2
Abraham Marte Messina,9356,Dany GerardDany Gerard,L,Choke
Abraham Marte Messina,9389,Leo NogueiraLeo Nogueira,L,Pts: 6x0
Abraham Marte Messina,11137,Mahamed AlyMahamed Aly,L,N/A
Abraham Marte Messina,3836,Daniel GarciaDaniel Garcia,W,Kimura
Abraham Marte Messina,4647,Tiago Reinaldo,W,Ezekiel
Abraham Marte Messina,4648,C. de Plastico,W,Points
Abraham Marte Messina,4726,Max Freitas,W,Triangle armbar
Abraham Marte Messina,4743,Renato CardosoRenato Cardoso,W,Bow and arrow
Abraham Marte Messina,4822,Orlando SanchezOrlando Sanchez,W,Pts: 8x0
Abraham Marte Messina,4826,R. EvangelistaR. Evangelista,W,Pts: 2x0
Abraham Marte Messina,5308,Tiago Giussani,W,Choke
Abraham Marte Messina,5496,Tiago Giussani,W,Triangle
Abraham Marte Messina,5497,Unknown,W,Triangle
Abraham Marte Messina,5498,Unknown,W,Kimura
Abraham Marte Messina,5499,Keneth Brown,W,Armbar
Abraham Marte Messina,5500,Tanner RiceTanner Rice,W,Cross choke
Abraham Marte Messina,5561,Martin Ottaviano,W,Choke
Abraham Marte Messina,5621,Igor SilvaIgor Silva,W,Points
Abraham Marte Messina,5702,Raphael Goulart,W,Choke
Abraham Marte Messina,5710,R. Goulart,W,Bow and arrow
Abraham Marte Messina,5852,Unknown,W,Triangle
Abraham Marte Messina,5853,Kitner Moura,W,Armbar
Abraham Marte Messina,5984,Bruno BastosBruno Bastos,W,Triangle
Abraham Marte Messina,5986,Gabriel Toribio,W,DQ
Abraham Marte Messina,5991,Enrique Coco,W,Pts: 4x0
Abraham Marte Messina,6065,Gabriel Vieira,W,Pts: 2x0
Abraham Marte Messina,6117,Kenneth Brown,W,Triangle
Abraham Marte Messina,6153,Unknown,W,Choke
Abraham Marte Messina,6154,Rodrigo CaporalRodrigo Caporal,W,Pts: 10x0
Abraham Marte Messina,6160,Charles Gaspar,W,Brabo choke
Abraham Marte Messina,6889,Daniel Tsatsos,W,Triangle
Abraham Marte Messina,7372,Arnaldo MaidanaArnaldo Maidana,W,Triangle
Abraham Marte Messina,7386,Leo NogueiraLeo Nogueira,W,Armbar
Abraham Marte Messina,7515,Keneth Brown,W,Armbar
Abraham Marte Messina,7899,Juskowiak Mateusz,W,Triangle w/ arm
Abraham Marte Messina,8196,Jason Lees,W,Short choke
Abraham Marte Messina,8197,Gustavo DiasGustavo Dias,W,"Pts: 2x2, Adv"
Abraham Marte Messina,9063,Q. Rosenzweig,W,Choke from mount
Abraham Marte Messina,9113,Mahamed AlyMahamed Aly,W,"Pts: 0x0, Adv"
Abraham Marte Messina,9115,Luiz PanzaLuiz Panza,W,Referee Decision
Abraham Marte Messina,9116,Tex JohnsonTex Johnson,W,Cross choke
Abraham Marte Messina,9351,Pablo Lemos,W,"Pts: 4x4, Adv"
Abraham Marte Messina,9372,Manuel RibamarManuel Ribamar,W,Kimura
Adam Benayoun,15043,Chris Kriebel,L,Referee Decision
Adam Benayoun,15586,Thiago MacedoThiago Macedo,L,Points
Adam Benayoun,15769,Frederico Alves,L,"Pts: 2x2, Adv"
Adam Benayoun,15886,Silvio DuranSilvio Duran,L,Pts: 8x6
Adam Benayoun,15892,Thomas Keenan,L,Arm in Ezekiel
Adam Benayoun,17054,Matheus GonzagaMatheus Gonzaga,L,Points
Adam Benayoun,17413,Pablo MantovaniPablo Mantovani,L,Kneebar
Adam Benayoun,17860,Paulo MiyaoPaulo Miyao,L,Pts: 9x4
Adam Benayoun,18093,Felipe LinharesFelipe Linhares,L,Choke from back
Adam Benayoun,18125,T. Ruotolo,L,Referee Decision
Adam Benayoun,18598,Thiago MacedoThiago Macedo,L,Referee Decision
Adam Benayoun,19185,Matheus GonzagaMatheus Gonzaga,L,Adv
Adam Benayoun,19262,Gabriel SousaGabriel Sousa,L,Points
Adam Benayoun,19362,Igor Mocaiber,L,Referee Decision
Adam Benayoun,23258,Yuta ShimadaYuta Shimada,L,Referee Decision
Adam Benayoun,23574,Silvio DuranSilvio Duran,L,N/A
Adam Benayoun,24173,Thiago MacedoThiago Macedo,L,50/50 armbar
Adam Benayoun,24496,Francisco CuneoFrancisco Cuneo,L,Referee Decision
Adam Benayoun,28267,Diego OliveiraDiego Oliveira,L,"Pts: 0x0, Adv"
Adam Benayoun,28840,Junny OcasioJunny Ocasio,L,Referee Decision
Adam Benayoun,30936,Kieran KichukKieran Kichuk,L,EBI/OT
Adam Benayoun,31561,Josh CisnerosJosh Cisneros,L,Referee Decision
Adam Benayoun,35623,Gavin Corbe,L,"Pts: 0x0, Adv"
Adam Benayoun,36933,Gavin Corbe,L,Referee Decision
Adam Benayoun,15548,Reuben Sagman,W,Triangle
Adam Benayoun,15549,Thiago Barbosa,W,"Pts: 0x0, Adv"
Adam Benayoun,15553,Chris Bumgardner,W,Triangle
Adam Benayoun,15554,Scott Dance,W,Omoplata
Adam Benayoun,15885,Fred Alves,W,"Pts: 2x2, Adv"
Adam Benayoun,15891,Christopher Carmo,W,Pts: 12x8
Adam Benayoun,15963,Silvio DuranSilvio Duran,W,Adv
Adam Benayoun,15965,Tiago Ribeiro,W,Triangle
Adam Benayoun,15966,Matheus GonzagaMatheus Gonzaga,W,Adv
Adam Benayoun,17053,Joshua Presley,W,N/A
Adam Benayoun,17859,Daniel Paulino,W,Katagatame
Adam Benayoun,18091,Charles Murdock,W,N/A
Adam Benayoun,18109,M. Zindler,W,Anaconda choke
Adam Benayoun,18121,Cole FransonCole Franson,W,Referee Decision
Adam Benayoun,18460,Spencer Nogawa,W,N/A
Adam Benayoun,18462,Brandon WalenskyBrandon Walensky,W,Points
Adam Benayoun,18591,Tomoshige Sera,W,Pts: 8x4
Adam Benayoun,19182,Orlando Andaviza,W,Points
Adam Benayoun,19261,Luan da Silva,W,N/A
Adam Benayoun,19360,Jon Lau,W,Pts: 2x0
Adam Benayoun,19361,Reuben Sagman,W,Bow and arrow
Adam Benayoun,19363,Reuben Sagman,W,Submission
Adam Benayoun,23255,Giovani Marcelo,W,"Pts: 2x2, Adv"
Adam Benayoun,23257,Emilio HernandezEmilio Hernandez,W,Armbar
Adam Benayoun,23571,Victor Paschoal,W,Points
Adam Benayoun,24019,Edward Hohl,W,Points
Adam Benayoun,24021,Samuel NagaiSamuel Nagai,W,Pts: 6x2
Adam Benayoun,24170,Edward Hohl,W,Pts: 4x2
Adam Benayoun,24494,Mauricio Gomez,W,Pts: 2x0
Adam Benayoun,25483,Marcus BeddorMarcus Beddor,W,Points
Adam Benayoun,25485,Suraj Budhram,W,Points
Adam Benayoun,25486,Orlando Castillo,W,Verbal tap
Adam Benayoun,26657,Jordan Holy,W,Points
Adam Benayoun,27204,Kieran Davern,D,---
Adam Benayoun,27217,Bradley Hill,D,---
Adam Benayoun,27226,Jed Hue,D,---
Adam Benayoun,28262,Elijah Tagalog,W,Pts: 10x0
Adam Benayoun,28726,Felipe Makoto,W,Estima lock
Adam Benayoun,28727,Huthayfah Penney,W,RNC
Adam Benayoun,28729,Emilio HernandezEmilio Hernandez,W,RNC
Adam Benayoun,28806,Kaleb Wats,W,Darce choke
Adam Benayoun,28819,Joey Diehl,W,Pts: 2x0
Adam Benayoun,28831,Samson Sausser,W,Referee Decision
Adam Benayoun,30034,Miha Perhavec,W,Pts: 4x2
Adam Benayoun,30035,Austin OrandayAustin Oranday,W,Referee Decision
Adam Benayoun,30566,Dany Vega,W,Darce choke
Adam Benayoun,30567,Damion OrandayDamion Oranday,W,Inside heel hook
Adam Benayoun,30931,Gabriel SousaGabriel Sousa,W,EBI/OT
Adam Benayoun,30934,Jon CalestineJon Calestine,W,EBI/OT
Adam Benayoun,31524,Easton Farr,W,Anaconda choke
Adam Benayoun,31539,Riley Golden,W,Inside heel hook
Adam Benayoun,31555,Kristofer Arrey,W,Armbar
Adam Benayoun,31560,Cameron Mellott,W,Pts: 3x0
Adam Benayoun,35612,Emilio HernandezEmilio Hernandez,W,Pts: 8x6
Adam Benayoun,35617,Lukete SilvaLukete Silva,W,Referee Decision
Adam Benayoun,35621,Gianni GrippoGianni Grippo,W,"Pts: 8x8, Adv"
Adam Benayoun,36928,Richard AlarconRichard Alarcon,W,Pts: 4x2
Adam Benayoun,46816,Daniel Wanderley,W,N/A
Adam Ferrara,14004,Joao MiyaoJoao Miyao,L,RNC
Adam Ferrara,14630,Silvio DuranSilvio Duran,L,Pts: 4x2
Adam Ferrara,15144,Thiago MacedoThiago Macedo,L,Choke from back
Adam Ferrara,15583,Rene Lopez,L,Adv
Adam Ferrara,16392,Thiago MacedoThiago Macedo,L,"Pts: 2x2, Adv"
Adam Ferrara,17851,Rodrigo FrancioniRodrigo Francioni,L,Referee Decision
Adam Ferrara,18597,Samir ChantreSamir Chantre,L,"Pts: 0x0, Adv"
Adam Ferrara,20844,John Ortalani,L,Referee Decision
Adam Ferrara,21132,Orlando Castillo,L,Points
Adam Ferrara,23205,Emilio HernandezEmilio Hernandez,L,Kneebar
Adam Ferrara,25066,Junny OcasioJunny Ocasio,L,Inside heel hook
Adam Ferrara,14001,Tadashi Takashima,W,RNC
Adam Ferrara,14629,Kris Kriebel,W,Toe hold
Adam Ferrara,15143,Samuel BragaSamuel Braga,W,Kneebar
Adam Ferrara,15582,Carlos Perez,W,Toe hold
Adam Ferrara,15723,Rodrigo Oliveira,W,Referee Decision
Adam Ferrara,16390,Yijad Moussa,W,Toe hold
Adam Ferrara,18593,Ighor Luis,W,Toe hold
Adam Ferrara,19705,Martin Davilla,W,Calf slicer
Adam Ferrara,20843,Clayton Lyon,W,Pts: 10x4
Adam Ferrara,20845,Clay Simon,W,Triangle armbar
Adam Ferrara,20846,Sky Moischiek,W,RNC
Adam Ferrara,20847,Zach Delilovik,W,Armbar
Adam Ferrara,25796,Jason Gates,W,Triangle
Adam Ferrara,26023,Sean Joseph,W,Armbar
Adam Ferrara,26312,Thomas Waldron,W,N/A
Adam Wardzinski,11339,Nelton PontesNelton Pontes,L,Referee Decision
Adam Wardzinski,11471,Alexandre RibeiroAlexandre Ribeiro,L,"Pts: 0x0, Adv"
Adam Wardzinski,11623,Tanner RiceTanner Rice,L,Referee Decision
Adam Wardzinski,12074,Alexandre RibeiroAlexandre Ribeiro,L,Choke from back
Adam Wardzinski,12361,Pablo PopovitchPablo Popovitch,L,Referee Decision
Adam Wardzinski,12683,Felipe PenaFelipe Pena,L,Choke from back
Adam Wardzinski,12902,Felipe PenaFelipe Pena,L,Points
Adam Wardzinski,13194,Dimitrius SouzaDimitrius Souza,L,Pts: 6x4
Adam Wardzinski,13399,Marcos SouzaMarcos Souza,L,Pts: 2x0
Adam Wardzinski,13833,Lucas BarbosaLucas Barbosa,L,"Pts: 0x0, Adv"
Adam Wardzinski,13994,Raphael Souza,L,Choke from back
Adam Wardzinski,14378,Guilherme AugustoGuilherme Augusto,L,"Pts: 0x0, Adv"
Adam Wardzinski,14383,Alexandre RibeiroAlexandre Ribeiro,L,Pts: 2x0
Adam Wardzinski,14847,Helton JoseHelton Jose,L,Referee Decision
Adam Wardzinski,14951,Keenan CorneliusKeenan Cornelius,L,Armbar
Adam Wardzinski,15228,DJ JacksonDJ Jackson,L,"Pts: 0x0, Adv"
Adam Wardzinski,15249,Jaime CanutoJaime Canuto,L,"Pts: 2x2, Adv"
Adam Wardzinski,15529,Paulo Pinto,L,"Pts: 0x0, Adv"
Adam Wardzinski,15863,Felipe PenaFelipe Pena,L,Bow and arrow
Adam Wardzinski,16182,Felipe PenaFelipe Pena,L,Pts: 4x0
Adam Wardzinski,16577,Felipe PenaFelipe Pena,L,Pts: 6x0
Adam Wardzinski,17502,Fernando ReisFernando Reis,L,Pts: 2x0
Adam Wardzinski,17599,Gustavo BatistaGustavo Batista,L,Referee Decision
Adam Wardzinski,17645,R. EvangelistaR. Evangelista,L,"Pts: 0x0, Adv"
Adam Wardzinski,18325,Kaynan DuarteKaynan Duarte,L,Pts: 2x0
Adam Wardzinski,18936,Gustavo BatistaGustavo Batista,L,Pts: 3x0
Adam Wardzinski,19464,Kaynan DuarteKaynan Duarte,L,Toe hold
Adam Wardzinski,19663,Kaynan DuarteKaynan Duarte,L,"Pts: 2x2, Adv"
Adam Wardzinski,20147,Kaynan DuarteKaynan Duarte,L,Kneebar
Adam Wardzinski,20700,Kaynan DuarteKaynan Duarte,L,Armbar
Adam Wardzinski,20759,Rudson MateusRudson Mateus,L,Pts: 2x0
Adam Wardzinski,20767,Jonnatas GracieJonnatas Gracie,L,Pts: 2x0
Adam Wardzinski,21072,Helton JoseHelton Jose,L,"Pts: 0x0, Adv"
Adam Wardzinski,21869,Josh HingerJosh Hinger,L,Arm in guillotine
Adam Wardzinski,22214,Marcelo GomideMarcelo Gomide,L,Pts: 6x2
Adam Wardzinski,22363,Luan AzevedoLuan Azevedo,L,"Pts: 0x0, Adv"
Adam Wardzinski,22718,Craig JonesCraig Jones,L,Reverse triangle
Adam Wardzinski,23169,Keenan CorneliusKeenan Cornelius,L,"Pts: 4x4, Adv"
Adam Wardzinski,23558,Jon BlankJon Blank,L,Inside heel hook
Adam Wardzinski,27662,Gustavo BatistaGustavo Batista,L,"Pts: 0x0, Adv"
Adam Wardzinski,28234,Pedro MarinhoPedro Marinho,L,Pts: 5x0
