event_id,bracket_bundle_id,match_id
19787,1211252,10581676
19787,1211252,10581677
19787,1211252,10581678
19787,1211252,10581679
19787,1211252,10581680
19787,1211252,10581681
19787,1211252,10581682
19787,1211252,10581683
19787,1211249,10581717
19787,1211249,10581718
19787,1211249,10581719
19787,1211249,10581720
19787,1211249,10581721
19787,1211249,10581722
19787,1211249,10581723
19787,1211249,10581724
19787,1211249,10581725
19787,1211249,10581726
19787,1211249,10581727
19787,1211249,10581728
19787,1211249,10581729
19787,1211249,10581730
19787,1211249,10581731
19787,1211249,10581732
