event_id,bracket_bundle_id,match_id
19787,1211252,10581676
19787,1211252,10581677
19787,1211252,10581678
19787,1211252,10581679
19787,1211252,10581680
19787,1211252,10581681
19787,1211252,10581682
19787,1211252,10581683
19787,1211249,10581717
19787,1211249,10581718
19787,1211249,10581719
19787,1211249,10581720
19787,1211249,10581721
19787,1211249,10581722
19787,1211249,10581723
19787,1211249,10581724
19787,1211249,10581725
19787,1211249,10581726
19787,1211249,10581727
19787,1211249,10581728
19787,1211249,10581729
19787,1211249,10581730
19787,1211249,10581731
19787,1211249,10581732
19787,1211246,10581101
19787,1211246,10581102
19787,1211246,10581103
19787,1211246,10581104
19787,1211246,10581105
19787,1211246,10581106
19787,1211246,10581107
19787,1211246,10581108
19787,1211246,10581109
19787,1211246,10581110
19787,1211246,10581111
19787,1211246,10581112
19787,1211246,10581113
19787,1211246,10581114
19787,1211246,10581115
19787,1211246,10581116
19787,1211246,10581117
19787,1211246,10581118
19787,1211246,10581119
19787,1211246,10581120
19787,1211246,10581121
19787,1211246,10581122
19787,1211246,10581123
19787,1211246,10581124
19787,1211246,10581125
19787,1211246,10581126
19787,1211246,10581127
19787,1211246,10581128
19787,1211246,10581129
19787,1211246,10581130
19787,1211246,10581131
19787,1211246,10581132
19787,1211251,10581069
19787,1211251,10581070
19787,1211251,10581071
19787,1211251,10581072
19787,1211251,10581073
19787,1211251,10581074
19787,1211251,10581075
19787,1211251,10581076
19787,1211251,10581077
19787,1211251,10581078
19787,1211251,10581079
19787,1211251,10581080
19787,1211251,10581081
19787,1211251,10581082
19787,1211251,10581083
19787,1211251,10581084
19787,1211251,10581085
19787,1211251,10581086
19787,1211251,10581087
19787,1211251,10581088
19787,1211251,10581089
19787,1211251,10581090
19787,1211251,10581091
19787,1211251,10581092
19787,1211251,10581093
19787,1211251,10581094
19787,1211251,10581095
19787,1211251,10581096
19787,1211251,10581097
19787,1211251,10581098
19787,1211251,10581099
19787,1211251,10581100
19787,1211256,10586123
19787,1211256,10586124
19787,1211256,10586125
19787,1211256,10586126
19787,1211256,10586127
19787,1211256,10586128
19787,1211256,10586129
19787,1211256,10586130
19787,1211256,10586131
19787,1211256,10586132
19787,1211256,10586133
19787,1211256,10586134
19787,1211256,10586135
19787,1211256,10586136
19787,1211256,10586137
19787,1211256,10586138
19787,1211256,10586139
19787,1211256,10586140
19787,1211256,10586141
19787,1211256,10586142
19787,1211256,10586143
19787,1211256,10586144
19787,1211256,10586145
19787,1211256,10586146
19787,1211256,10586147
19787,1211256,10586148
19787,1211256,10586149
19787,1211256,10586150
19787,1211256,10586151
19787,1211256,10586152
19787,1211256,10586153
19787,1211256,10586154
19787,1211257,10549765
19787,1211257,10549766
19787,1211257,10549767
19787,1211257,10549768
19787,1211257,10549769
19787,1211257,10549770
19787,1211257,10549771
19787,1211257,10549772
19787,1211257,10549773
19787,1211257,10549774
19787,1211257,10549775
19787,1211257,10549776
19787,1211257,10549777
19787,1211257,10549778
19787,1211257,10549779
19787,1211257,10549780
19787,1211258,10573991
19787,1211258,10573992
19787,1211258,10573993
19787,1211258,10573994
19787,1211258,10573995
19787,1211258,10573996
19787,1211258,10573997
19787,1211258,10573998
19787,1211248,10585950
19787,1211248,10585951
19787,1211248,10585952
19787,1211248,10585953
19787,1211248,10585954
19787,1211248,10585955
19787,1211248,10585956
